Age_group,State,Gender,Year,Total
15-29,TRIPURA,Male,2001,393
15-29,TRIPURA,Male,2002,519
15-29,TRIPURA,Male,2003,594
15-29,TRIPURA,Male,2004,612
15-29,TRIPURA,Male,2005,447
15-29,TRIPURA,Male,2006,435
15-29,TRIPURA,Male,2007,444
15-29,TRIPURA,Male,2008,456
15-29,TRIPURA,Male,2009,561
15-29,TRIPURA,Male,2010,381
15-29,TRIPURA,Male,2011,606
15-29,TRIPURA,Male,2012,510
15-29,UTTAR PRADESH,Female,2001,2610
15-29,UTTAR PRADESH,Female,2002,2577
15-29,UTTAR PRADESH,Female,2003,2556
15-29,UTTAR PRADESH,Female,2004,2766
15-29,UTTAR PRADESH,Female,2005,2592
15-29,UTTAR PRADESH,Female,2006,2211
15-29,UTTAR PRADESH,Female,2007,2970
15-29,UTTAR PRADESH,Female,2008,3249
15-29,UTTAR PRADESH,Female,2009,3207
15-29,UTTAR PRADESH,Female,2010,3081
15-29,UTTAR PRADESH,Female,2011,3510
15-29,UTTAR PRADESH,Female,2012,2967
15-29,UTTAR PRADESH,Male,2001,2148
15-29,UTTAR PRADESH,Male,2002,2559
15-29,UTTAR PRADESH,Male,2003,2289
15-29,UTTAR PRADESH,Male,2004,2211
15-29,UTTAR PRADESH,Male,2005,1701
15-29,UTTAR PRADESH,Male,2006,1887
15-29,UTTAR PRADESH,Male,2007,2085
15-29,UTTAR PRADESH,Male,2008,2304
15-29,UTTAR PRADESH,Male,2009,2508
15-29,UTTAR PRADESH,Male,2010,2016
15-29,UTTAR PRADESH,Male,2011,2901
15-29,UTTAR PRADESH,Male,2012,2535
15-29,UTTARAKHAND,Female,2001,216
15-29,UTTARAKHAND,Female,2002,240
15-29,UTTARAKHAND,Female,2003,231
15-29,UTTARAKHAND,Female,2004,165
15-29,UTTARAKHAND,Female,2005,162
15-29,UTTARAKHAND,Female,2006,231
15-29,UTTARAKHAND,Female,2007,189
15-29,UTTARAKHAND,Female,2008,183
15-29,UTTARAKHAND,Female,2009,237
15-29,UTTARAKHAND,Female,2010,207
15-29,UTTARAKHAND,Female,2011,207
15-29,UTTARAKHAND,Female,2012,300
15-29,UTTARAKHAND,Male,2001,123
15-29,UTTARAKHAND,Male,2002,267
15-29,UTTARAKHAND,Male,2003,333
15-29,UTTARAKHAND,Male,2004,177
15-29,UTTARAKHAND,Male,2005,228
15-29,UTTARAKHAND,Male,2006,153
15-29,UTTARAKHAND,Male,2007,159
15-29,UTTARAKHAND,Male,2008,111
15-29,UTTARAKHAND,Male,2009,231
15-29,UTTARAKHAND,Male,2010,186
